10010,328
10000,527
10100,137
10110,60
00220,30
00201,38
00200,329
00202,81
00212,35
10001,105
10102,18
10101,36
10002,148
10011,60
10012,26
01200,112
01210,53
11000,276
11110,29
11001,39
11010,107
11002,34
11011,12
10020,8
11100,63
11101,9
11012,4
00210,107
10111,17
10120,4
10022,2
10112,1
00222,6
00211,13
02200,95
02202,21
12000,77
12110,6
12100,26
12010,22
12002,24
12120,1
12101,5
12012,1
12001,14
12011,3
11020,6
01000,1223
01010,522
01020,49
01100,459
01002,117
01001,204
01011,103
01102,38
01120,31
01110,160
01101,45
01012,28
01220,4
01201,14
00102,106
00002,452
00100,589
00001,323
00010,1113
00000,1558
00020,97
00110,358
00011,290
00012,90
00120,33
00111,66
00101,137
00021,14
00022,32
02222,2
02220,9
02221,2
02210,10
02201,15
02110,13
02002,71
02100,53
02101,15
02010,71
02020,12
02000,169
02001,33
02012,5
10210,19
11111,3
11102,5
11112,1
10202,11
10200,57
10201,12
10212,4
10211,2
00121,3
00221,2
12200,17
12201,1
12202,7
12212,1
01022,7
01111,22
02120,2
02022,5
11200,16
10021,5
10220,2
10221,3
12021,3
12020,2
01202,11
01122,1
01211,4
00122,2
00112,14
02212,7
02111,1
02011,2
01021,1
01112,3
11022,1
11120,2
11220,1
11221,1
11201,1
11210,1
01212,2
20200,25
21000,133
21011,11
21010,27
21002,9
21001,13
21100,31
21110,6
21102,3
21020,5
21101,4
21220,1
20202,7
21200,6
21210,2
20002,44
20012,6
20122,1
20102,8
20220,1
20210,8
20121,1
20100,53
20101,7
20110,21
20020,4
20010,79
20000,139
20112,1
20001,17
20021,1
20011,21
20120,2
22200,22
22222,1
22220,2
22202,3
22110,2
22120,1
22100,13
22101,2
22011,1
22010,12
22002,12
22022,2
22020,3
22000,38
22001,3
20022,1
